left_leg_upper,left_leg_lower,right_leg_upper,right_leg_lower,left_arm_upper,left_arm_lower,right_arm_upper,right_arm_lower,t_left_leg_upper,t_left_leg_lower,t_right_leg_upper,t_right_leg_lower,t_left_arm_upper,t_left_arm_lower,t_right_arm_upper,t_right_arm_lower
350.6664,339.3336,43.99998,359.3336,39.33337,74,287.3336,50.66666,350.333,339.667,44.49998,359.667,39.66671,74.5,286.167,50.33333
350.333,339.667,44.49998,359.667,39.66671,74.5,286.167,50.33333,350,340,44.99998,0.0003051758,40,75,285.0003,50
350,340,44.99998,0.0003051758,40,75,285.0003,50,350,339.1667,45,359.667,39.66667,74.5,286.5003,49.66667
350,339.1667,45,359.667,39.66667,74.5,286.5003,49.66667,350,338.3333,45,359.3336,39.33334,74,288.0003,49.33334
350,338.3333,45,359.3336,39.33334,74,288.0003,49.33334,350,337.5,45,359.0003,39,73.5,289.5003,49
350,337.5,45,359.0003,39,73.5,289.5003,49,350,336.6666,45,358.6669,38.66667,73,291.0003,48.66667
350,336.6666,45,358.6669,38.66667,73,291.0003,48.66667,350,335.8333,45,358.3336,38.33334,72.5,292.5003,48.33334
350,335.8333,45,358.3336,38.33334,72.5,292.5003,48.33334,350,334.9999,45,358.0002,38.00001,72,294.0003,48.00001
350,334.9999,45,358.0002,38.00001,72,294.0003,48.00001,350,334.1666,45,357.6669,37.66668,71.5,295.5003,47.66668
350,334.1666,45,357.6669,37.66668,71.5,295.5003,47.66668,350,333.3333,45,357.3336,37.33334,71,297.0003,47.33334
350,333.3333,45,357.3336,37.33334,71,297.0003,47.33334,350,332.4999,45,357.0002,37.00001,70.5,298.5003,47.00001
350,332.4999,45,357.0002,37.00001,70.5,298.5003,47.00001,350,331.6666,45,356.6669,36.66668,70,300.0003,46.66668
350,331.6666,45,356.6669,36.66668,70,300.0003,46.66668,350,330.8332,45,356.3335,36.33335,69.5,301.5003,46.33335
350,330.8332,45,356.3335,36.33335,69.5,301.5003,46.33335,350,329.9999,45,356.0002,36.00002,69,303.0003,46.00002
350,329.9999,45,356.0002,36.00002,69,303.0003,46.00002,350,329.1665,45,355.6668,35.66668,68.5,304.5003,45.66668
350,329.1665,45,355.6668,35.66668,68.5,304.5003,45.66668,350,328.3332,45,355.3335,35.33335,68,306.0003,45.33335
350,328.3332,45,355.3335,35.33335,68,306.0003,45.33335,350,327.4998,45,355.0002,35.00002,67.5,307.5003,45.00002
350,327.4998,45,355.0002,35.00002,67.5,307.5003,45.00002,350,326.6665,45,354.6668,34.66669,67,309.0003,44.66669
350,326.6665,45,354.6668,34.66669,67,309.0003,44.66669,350,325.8332,45,354.3335,34.33335,66.5,310.5003,44.33335
350,325.8332,45,354.3335,34.33335,66.5,310.5003,44.33335,350,324.9998,45,354.0001,34.00002,66,312.0003,44.00002
350,324.9998,45,354.0001,34.00002,66,312.0003,44.00002,350,324.1665,45,353.6668,33.66669,65.5,313.5003,43.66669
350,324.1665,45,353.6668,33.66669,65.5,313.5003,43.66669,350,323.3331,45,353.3334,33.33336,65,315.0003,43.33336
350,323.3331,45,353.3334,33.33336,65,315.0003,43.33336,350,322.4998,45,353.0001,33.00003,64.5,316.5003,43.00003
350,322.4998,45,353.0001,33.00003,64.5,316.5003,43.00003,350,321.6664,45,352.6667,32.66669,64,318.0003,42.66669
350,321.6664,45,352.6667,32.66669,64,318.0003,42.66669,350,320.8331,45,352.3334,32.33336,63.5,319.5003,42.33336
350,320.8331,45,352.3334,32.33336,63.5,319.5003,42.33336,350,319.9998,45,352.0001,32.00003,63,321.0003,42.00003
350,319.9998,45,352.0001,32.00003,63,321.0003,42.00003,350,319.1664,45,351.6667,31.6667,62.5,322.5003,41.6667
350,319.1664,45,351.6667,31.6667,62.5,322.5003,41.6667,350,318.3331,45,351.3334,31.33336,62,324.0003,41.33337
350,318.3331,45,351.3334,31.33336,62,324.0003,41.33337,350,317.4997,45,351,31.00003,61.5,325.5003,41.00003
350,317.4997,45,351,31.00003,61.5,325.5003,41.00003,350,316.6664,45,350.6667,30.66669,61,327.0003,40.6667
350,316.6664,45,350.6667,30.66669,61,327.0003,40.6667,350,315.833,45,350.3333,30.33336,60.5,328.5003,40.33337
350,315.833,45,350.3333,30.33336,60.5,328.5003,40.33337,350,315,45,350,30.00003,60,330,40.00004
350,315,45,350,30.00003,60,330,40.00004,350.3333,315,44.5,350,29.83336,60,330,40
350.3333,315,44.5,350,29.83336,60,330,40,350.6667,315,44,350,29.66669,60,330,40
350.6667,315,44,350,29.66669,60,330,40,351,315,43.5,350,29.50002,60,330,40
351,315,43.5,350,29.50002,60,330,40,351.3334,315,43,350,29.33335,60,330,40
351.3334,315,43,350,29.33335,60,330,40,351.6667,315,42.5,350,29.16669,60,330,40
351.6667,315,42.5,350,29.16669,60,330,40,352.0001,315,42,350,29.00002,60,330,40
352.0001,315,42,350,29.00002,60,330,40,352.3334,315,41.5,350,28.83335,60,330,40
352.3334,315,41.5,350,28.83335,60,330,40,352.6667,315,41,350,28.66668,60,330,40
352.6667,315,41,350,28.66668,60,330,40,353.0001,315,40.5,350,28.50002,60,330,40
353.0001,315,40.5,350,28.50002,60,330,40,353.3334,315,40,350,28.33335,60,330,40
353.3334,315,40,350,28.33335,60,330,40,353.6668,315,39.5,350,28.16668,60,330,40
353.6668,315,39.5,350,28.16668,60,330,40,354.0001,315,39,350,28.00001,60,330,40
354.0001,315,39,350,28.00001,60,330,40,354.3335,315,38.5,350,27.83334,60,330,40
354.3335,315,38.5,350,27.83334,60,330,40,354.6668,315,38,350,27.66668,60,330,40
354.6668,315,38,350,27.66668,60,330,40,355.0002,315,37.5,350,27.50001,60,330,40
